Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Cluster
Japan,2024,Beverages,49654.67,56043.32000000001,88.07,920.95,31.05,1
France,2024,Dairy Products,24034.9,22397.06,113.47,22.76,47.6,0
South Africa,2024,Frozen Food,22627.61,26111.76,100.98,1286.39,47.63,0
Argentina,2021,Prepared Food,26617.35,29613.96,75.68,791.06,54.79,1
France,2019,Fruits & Vegetables,34062.3,28634.02,24.72,502.45,30.92,1
South Korea,2020,Grains & Cereals,3247.5200000000004,2857.34,137.32,900.91,46.96,0
Japan,2024,Frozen Food,45137.2,50353.69,97.62,196.99,60.8,1
Spain,2020,Frozen Food,11323.81,12671.84,188.97,1119.12,67.87,0
Saudi Arabia,2024,Grains & Cereals,28350.62,23792.23,60.18,168.27,68.28,1
China,2019,Meat & Seafood,49187.0,55452.99,175.26,235.18,45.13,1
Russia,2020,Dairy Products,17377.35,18151.61,61.61,292.61,30.97,0
Indonesia,2023,Beverages,29047.61,28857.37,171.48,1357.26,37.13,1
India,2022,Meat & Seafood,45503.17,36840.95,166.32,497.53,49.41,1
USA,2023,Meat & Seafood,49989.46,52758.97,67.79,1059.46,34.59,1
Russia,2024,Beverages,21130.61,20784.29,188.42,444.93,63.5,0
France,2021,Prepared Food,43821.83,37560.64,46.29,1239.57,69.6,1
Indonesia,2019,Prepared Food,17252.61,17206.27,113.48,1356.95,51.55,0
Saudi Arabia,2023,Fruits & Vegetables,15727.37,17797.31,172.36,1043.82,60.43,0
China,2024,Dairy Products,16317.89,18756.47,121.58,221.47,32.13,0
South Korea,2019,Bakery Items,12450.31,13846.01,120.18,450.11,31.5,0
Indonesia,2024,Grains & Cereals,29252.27,23592.89,115.09,575.22,63.47,1
USA,2023,Beverages,11413.81,10952.46,29.42,1282.89,42.5,0
Japan,2021,Frozen Food,4236.48,4331.669999999998,21.07,94.67,66.54,0
China,2020,Beverages,4278.419999999998,4869.169999999998,40.45,122.79,69.42,0
South Korea,2022,Prepared Food,779.4399999999987,887.9300000000003,75.86,527.12,69.74,0
Italy,2022,Grains & Cereals,35558.23,40005.64,102.15,629.49,36.12,1
France,2022,Bakery Items,18047.51,19246.75,25.15,1241.65,40.88,0
Indonesia,2021,Beverages,32676.12,26927.51,128.86,1204.96,32.63,1
Japan,2024,Prepared Food,31800.86,26061.76,187.07,167.89,61.25,1
Japan,2019,Prepared Food,7314.080000000002,6494.049999999999,165.19,1314.34,41.29,0
China,2022,Bakery Items,26894.67,27476.66,111.71,1164.74,53.72,1
South Africa,2024,Fruits & Vegetables,28859.11,24785.6,101.06,1001.72,47.8,1
South Africa,2018,Fruits & Vegetables,30611.58,27579.49,61.38,105.48,39.97,1
Brazil,2019,Fruits & Vegetables,34348.18,34042.67,176.92,661.67,57.18,1
Italy,2022,Bakery Items,4785.1500000000015,4529.709999999999,78.19,1007.65,44.04,0
Russia,2024,Meat & Seafood,15316.49,13959.37,33.17,544.98,46.42,0
Germany,2022,Fruits & Vegetables,4027.0600000000013,4161.639999999999,39.1,1103.69,53.65,0
Indonesia,2021,Beverages,46712.35,52263.46,63.88,371.69,40.69,1
France,2021,Meat & Seafood,43750.97,44631.77,88.69,1050.59,66.59,1
India,2020,Dairy Products,20766.62,23062.53,112.41,648.6,30.35,0
Argentina,2020,Meat & Seafood,36348.88,36244.23,132.11,818.44,35.86,1
Italy,2019,Bakery Items,22786.26,24962.86,108.32,892.47,55.47,0
USA,2018,Grains & Cereals,8233.73,6787.459999999999,176.76,570.09,66.52,0
USA,2024,Fruits & Vegetables,29599.16,24192.02,93.89,625.33,52.19,1
Mexico,2022,Dairy Products,45255.38,52762.12,112.77,1315.81,67.33,1
UK,2024,Beverages,47679.81,47791.63,23.65,1334.72,43.03,1
Turkey,2022,Grains & Cereals,34983.66,37743.95,96.33,612.0,33.22,1
France,2023,Meat & Seafood,25448.39,22962.63,182.05,1084.4,45.56,0
Canada,2021,Dairy Products,23915.05,23637.28,159.11,1363.38,49.64,0
Italy,2020,Meat & Seafood,39357.91,45100.55,129.41,137.72,62.79,1
Spain,2020,Grains & Cereals,24796.3,23564.7,171.51,1047.09,30.2,0
Mexico,2020,Frozen Food,39254.69,46983.85,115.33,488.38,42.94,1
Argentina,2022,Dairy Products,38141.73,37376.6,80.64,1046.48,60.19,1
Brazil,2018,Grains & Cereals,28752.18,24424.46,138.27,521.54,66.35,1
South Korea,2019,Bakery Items,12616.35,12982.56,139.89,1218.15,46.52,0
USA,2024,Beverages,46686.12,49178.7,37.56,293.07,69.09,1
India,2023,Grains & Cereals,33660.2,27989.89,71.87,391.26,63.09,1
Russia,2020,Beverages,29908.73,26294.26,110.77,185.42,65.7,1
Mexico,2018,Meat & Seafood,34413.16,32543.86,182.52,1378.71,57.74,1
Russia,2019,Beverages,8680.91,10404.01,84.66,908.21,53.0,0
China,2023,Prepared Food,48007.8,50204.47,52.33,228.9,43.0,1
Brazil,2018,Frozen Food,3563.3600000000006,3019.2999999999993,174.2,330.96,33.21,0
South Korea,2018,Prepared Food,10118.17,9315.86,147.67,1218.28,69.27,0
Turkey,2018,Grains & Cereals,30969.61,26871.86,182.41,309.19,33.85,1
Mexico,2019,Beverages,11245.19,12817.32,190.24,212.29,30.93,0
Germany,2021,Dairy Products,21773.82,22089.4,160.01,1007.4,40.36,0
Spain,2020,Fruits & Vegetables,2984.9399999999987,3563.8300000000017,50.14,222.68,57.48,0
Japan,2023,Beverages,23393.81,22134.34,121.65,366.94,60.17,0
China,2020,Fruits & Vegetables,21768.21,24559.58,119.84,1149.95,52.42,0
USA,2019,Fruits & Vegetables,14115.03,12633.9,76.4,1020.07,62.75,0
Indonesia,2024,Bakery Items,39720.21,32793.5,80.34,70.16,57.59,1
Brazil,2023,Fruits & Vegetables,10079.679999999998,11226.08,24.38,347.24,62.2,0
Spain,2024,Prepared Food,26770.8,31303.22,142.51,1320.6,62.78,1
Canada,2024,Dairy Products,18679.54,17280.66,33.13,864.28,64.96,0
China,2021,Dairy Products,44898.24,41345.89,193.89,639.83,56.31,1
Indonesia,2019,Beverages,44904.54,50060.19,121.06,190.31,31.5,1
South Africa,2023,Frozen Food,13719.21,13662.63,192.54,843.3,54.05,0
South Korea,2020,Prepared Food,22429.52,24304.86,130.67,1282.04,40.55,0
Russia,2023,Prepared Food,36196.43,35330.42,165.71,1102.16,46.46,1
Turkey,2024,Dairy Products,10186.86,9369.440000000002,89.42,848.93,54.29,0
Italy,2023,Meat & Seafood,42665.31,36254.52,153.62,1173.1,45.1,1
Italy,2024,Grains & Cereals,8173.540000000001,9680.500000000002,115.17,1173.09,30.69,0
USA,2018,Fruits & Vegetables,1922.1899999999987,1992.6399999999994,148.91,1176.35,41.55,0
Germany,2018,Fruits & Vegetables,32162.93,36128.03,156.94,112.58,63.84,1
Argentina,2020,Grains & Cereals,934.2599999999984,910.2200000000012,119.18,1364.54,62.13,0
Spain,2021,Meat & Seafood,27162.59,28086.44,38.67,348.6,37.48,1
Spain,2024,Frozen Food,49613.22,46843.72,26.81,1153.46,64.52,1
Indonesia,2018,Bakery Items,26859.4,29195.08,25.05,359.62,67.85,1
South Korea,2021,Frozen Food,22320.32,20365.11,55.19,1067.05,52.08,0
South Africa,2019,Beverages,43418.37,41361.56,31.03,932.7,38.98,1
China,2020,Dairy Products,45780.62,37679.38,187.29,699.33,59.32,1
Mexico,2021,Grains & Cereals,9734.18,8780.23,108.76,58.47,37.92,0
UK,2018,Bakery Items,43243.64,49943.72,75.39,363.02,30.57,1
Spain,2024,Frozen Food,44565.93,47755.8,72.83,1054.08,36.24,1
France,2021,Fruits & Vegetables,25913.16,23194.87,38.13,334.68,61.31,0
India,2020,Grains & Cereals,2481.459999999999,2685.540000000001,111.61,942.58,46.95,0
Canada,2019,Meat & Seafood,42435.87,40886.9,78.01,720.74,54.51,1
India,2022,Meat & Seafood,25569.5,25134.78,169.4,548.21,41.9,1
Mexico,2020,Prepared Food,7255.5999999999985,6461.959999999999,199.92,1073.03,57.48,0
Indonesia,2023,Beverages,32493.37,35980.75,160.15,622.32,36.15,1
Saudi Arabia,2018,Meat & Seafood,27104.73,31850.55,75.19,477.32,65.96,1
South Africa,2022,Prepared Food,30807.18,32697.62,40.46,162.26,42.31,1
Australia,2022,Meat & Seafood,21556.95,17602.2,113.88,1306.53,58.27,0
Australia,2021,Meat & Seafood,8916.920000000002,9679.04,80.47,245.57,42.76,0
South Africa,2020,Frozen Food,6310.27,5512.32,172.04,552.69,35.53,0
Argentina,2019,Fruits & Vegetables,28520.18,33025.24,42.42,224.65,62.83,1
UK,2023,Frozen Food,17989.88,17023.51,180.2,15.55,47.83,0
Australia,2024,Prepared Food,25202.25,29278.35,176.6,667.61,65.37,1
Spain,2020,Beverages,29670.36,33305.83,99.91,185.7,66.13,1
UK,2023,Bakery Items,7147.310000000001,5759.760000000002,194.18,879.39,63.85,0
Brazil,2019,Beverages,34055.32,38608.82,179.23,370.54,58.1,1
Russia,2019,Grains & Cereals,7185.989999999998,7264.93,76.95,263.38,53.93,0
Russia,2018,Frozen Food,48859.36,56724.15,187.14,1136.76,40.39,1
UK,2023,Dairy Products,35346.01,35164.24,90.3,1377.34,38.37,1
France,2018,Dairy Products,10007.190000000002,9219.12,160.53,649.42,60.9,0
Spain,2021,Beverages,29697.38,30150.49,82.29,501.97,67.3,1
Mexico,2022,Prepared Food,6200.239999999998,5526.869999999999,136.68,143.32,41.36,0
Saudi Arabia,2022,Fruits & Vegetables,16504.06,19657.42,94.68,399.1,48.13,0
Argentina,2021,Dairy Products,2843.540000000001,2454.5800000000017,146.99,320.19,70.0,0
Spain,2020,Frozen Food,48691.65,57588.73000000001,185.46,882.71,67.93,1
Italy,2020,Meat & Seafood,33631.63,36002.75,113.46,120.13,69.01,1
Brazil,2024,Beverages,46185.83,39504.32,107.27,354.55,41.43,1
Turkey,2018,Frozen Food,21066.64,24307.74,96.16,529.36,51.53,0
Canada,2021,Grains & Cereals,2674.739999999998,2299.709999999999,187.96,203.4,68.36,0
France,2019,Grains & Cereals,27982.0,32084.97,178.54,1146.48,65.81,1
South Korea,2021,Dairy Products,33623.86,33512.38,174.02,1153.75,66.49,1
Germany,2021,Dairy Products,24941.91,20249.38,158.91,933.58,53.39,0
Australia,2021,Beverages,12405.33,13142.13,59.4,1239.9,42.12,0
Turkey,2019,Dairy Products,45237.82,49190.19,33.78,226.82,45.35,1
Argentina,2023,Beverages,20826.12,20816.3,136.16,989.19,31.86,0
Brazil,2021,Frozen Food,8944.2,9404.59,48.78,372.45,36.02,0
Germany,2019,Grains & Cereals,32296.3,37517.45,56.59,943.81,30.58,1
France,2018,Beverages,48063.97,39293.84,86.51,1376.28,49.59,1
Germany,2021,Dairy Products,33109.8,32144.58,58.24,861.14,66.56,1
Canada,2018,Beverages,6120.34,5373.610000000001,83.65,134.84,41.75,0
Indonesia,2023,Dairy Products,35731.26,35463.59,57.22,1027.36,69.06,1
South Africa,2019,Grains & Cereals,23127.16,21575.07,29.74,670.3,50.02,0
Russia,2019,Grains & Cereals,7977.200000000001,9115.079999999998,29.66,920.91,40.43,0
China,2024,Frozen Food,27479.16,26256.31,114.44,1205.01,31.89,1
France,2023,Prepared Food,8866.77,9231.98,29.46,138.08,61.23,0
Russia,2024,Dairy Products,18881.04,15728.72,192.86,716.36,57.52,0
Brazil,2021,Grains & Cereals,10519.7,11552.04,86.94,1290.41,40.94,0
Russia,2022,Prepared Food,31479.34,31546.7,150.02,1004.63,68.21,1
Germany,2024,Bakery Items,24173.46,26831.34,149.3,1128.76,45.82,1
Spain,2020,Meat & Seafood,40293.17,33000.05,157.18,92.35,52.47,1
Russia,2019,Prepared Food,36788.4,31170.63,173.62,1071.79,40.13,1
Indonesia,2020,Fruits & Vegetables,31399.46,29429.68,184.81,1186.48,36.39,1
Saudi Arabia,2024,Dairy Products,12250.67,14096.2,167.43,278.51,32.25,0
India,2020,Prepared Food,47406.66,53491.73,71.6,1360.3,56.77,1
Spain,2021,Prepared Food,10710.200000000003,10415.560000000001,94.92,1374.43,59.31,0
Mexico,2021,Grains & Cereals,34105.56,30801.6,119.78,659.98,34.53,1
France,2022,Meat & Seafood,24035.89,24015.47,63.73,272.6,52.7,0
Brazil,2023,Prepared Food,10507.839999999998,12067.43,24.39,348.6,41.0,0
Mexico,2024,Dairy Products,35501.26,37451.09,113.41,839.1,36.13,1
India,2023,Meat & Seafood,31682.22,34419.23,125.04,515.79,67.23,1
Germany,2019,Prepared Food,18780.16,17208.3,174.68,708.17,42.37,0
Mexico,2024,Meat & Seafood,28795.12,30722.18,28.34,1105.68,47.06,1
Italy,2018,Grains & Cereals,6350.330000000002,7015.939999999999,36.53,34.01,32.75,0
South Korea,2020,Beverages,49280.34,44077.42,70.19,250.81,66.24,1
India,2019,Beverages,16912.95,16797.06,184.47,285.97,44.24,0
France,2023,Frozen Food,49544.47,53191.19,22.54,791.14,64.93,1
South Korea,2024,Bakery Items,6164.639999999999,6301.18,141.44,1346.58,54.48,0
Japan,2023,Prepared Food,17583.7,14602.34,83.05,685.5,44.63,0
South Korea,2024,Dairy Products,39583.18,43098.3,112.77,991.16,63.82,1
USA,2024,Meat & Seafood,19152.45,15679.6,136.23,179.83,47.56,0
South Africa,2020,Bakery Items,24305.31,24948.0,122.76,131.83,41.26,0
Japan,2023,Bakery Items,43549.61,39176.19,122.33,1110.61,38.38,1
USA,2021,Bakery Items,18752.86,18157.59,34.37,687.19,34.82,0
Russia,2022,Dairy Products,39056.71,46470.62,94.79,1292.74,65.38,1
Argentina,2019,Grains & Cereals,13212.92,14761.67,84.85,1127.62,36.09,0
Indonesia,2022,Grains & Cereals,12214.35,12612.64,69.67,393.64,35.74,0
France,2024,Meat & Seafood,19377.14,21240.56,42.61,624.77,33.3,0
Argentina,2024,Frozen Food,28618.26,32690.25,167.11,956.93,59.78,1
Mexico,2021,Prepared Food,24849.69,27043.72,132.5,882.12,31.9,1
France,2019,Grains & Cereals,37869.32,35912.22,110.44,345.33,30.04,1
UK,2018,Prepared Food,16509.39,17572.51,24.01,893.33,62.24,0
Australia,2018,Dairy Products,31983.92,26673.23,189.9,951.51,56.81,1
Mexico,2020,Grains & Cereals,41944.46,44101.79,197.72,1039.46,64.12,1
India,2018,Bakery Items,27317.9,27416.93,97.26,168.05,69.5,1
France,2021,Fruits & Vegetables,16272.92,13871.08,68.44,834.8,47.68,0
Spain,2019,Prepared Food,18165.75,20967.0,117.95,720.22,47.99,0
China,2018,Dairy Products,49651.71,45493.82,128.16,539.93,57.2,1
South Africa,2021,Prepared Food,25968.3,28645.91,122.03,954.54,33.04,1
Spain,2022,Bakery Items,4975.040000000001,4138.169999999998,69.22,234.27,30.36,0
UK,2023,Bakery Items,16276.69,16703.51,183.68,1011.68,55.11,0
India,2020,Beverages,39838.37,40364.98,123.76,1347.18,37.25,1
India,2024,Prepared Food,16319.38,16600.71,155.21,123.64,69.59,0
India,2024,Bakery Items,13490.82,10997.21,48.18,45.98,42.32,0
Russia,2018,Beverages,11960.04,13749.13,109.81,877.79,36.53,0
China,2024,Dairy Products,9885.279999999999,10090.0,193.59,155.89,34.05,0
Turkey,2019,Bakery Items,8716.0,9644.629999999997,72.92,179.8,65.89,0
Italy,2020,Grains & Cereals,22751.56,25813.94,111.67,510.56,42.3,0
South Africa,2022,Grains & Cereals,37858.74,34972.42,78.05,486.42,64.67,1
Turkey,2022,Grains & Cereals,29974.31,32496.03,65.29,1100.63,60.6,1
South Africa,2023,Grains & Cereals,20302.19,20223.89,185.02,232.09,40.56,0
UK,2022,Frozen Food,49337.57,42934.92,103.54,482.65,32.02,1
Italy,2023,Bakery Items,47373.36,55692.26,129.24,1101.3,45.11,1
USA,2019,Bakery Items,41505.08,33845.07,112.04,280.11,67.47,1
South Africa,2018,Beverages,45114.16,44709.61,188.62,319.85,63.53,1
Turkey,2022,Beverages,3762.040000000001,3618.290000000001,27.4,996.2,39.89,0
UK,2021,Dairy Products,5891.720000000001,4807.380000000001,190.78,290.39,31.74,0
Argentina,2018,Frozen Food,35181.49,38177.3,179.61,1179.74,50.88,1
Germany,2023,Beverages,21340.53,18787.62,120.91,1203.98,44.27,0
USA,2019,Frozen Food,34377.17,29072.21,140.08,984.11,58.6,1
South Africa,2019,Grains & Cereals,11916.64,13349.45,62.28,928.96,43.96,0
South Korea,2024,Meat & Seafood,6094.389999999999,6039.23,81.14,1340.57,31.16,0
Italy,2021,Fruits & Vegetables,45815.53,37369.25,120.55,836.54,61.31,1
South Korea,2024,Prepared Food,35196.99,41710.61,40.34,1186.18,56.37,1
Indonesia,2019,Fruits & Vegetables,15082.95,15797.78,101.96,1211.83,49.23,0
France,2022,Meat & Seafood,21473.25,19444.45,80.0,1222.16,53.73,0
Germany,2023,Fruits & Vegetables,32504.2,30432.43,67.4,1350.33,33.03,1
China,2023,Bakery Items,12727.7,11221.47,130.86,459.11,55.8,0
USA,2023,Bakery Items,26305.75,30688.14,128.15,1090.64,51.16,1
China,2018,Grains & Cereals,20388.48,17369.44,195.85,904.06,61.03,0
India,2021,Beverages,28904.71,30930.87,107.79,760.37,65.85,1
South Korea,2021,Dairy Products,40315.11,36359.56,142.45,784.4,47.67,1
USA,2023,Meat & Seafood,28762.81,23387.04,76.73,769.09,37.91,1
Indonesia,2021,Fruits & Vegetables,15460.27,13647.73,140.85,206.21,32.25,0
Brazil,2022,Dairy Products,14489.65,13756.34,141.69,282.11,39.79,0
Mexico,2024,Prepared Food,39062.57,37034.2,50.69,263.79,62.12,1
USA,2018,Frozen Food,5427.23,4559.830000000002,93.69,191.13,59.13,0
USA,2023,Beverages,16197.32,17595.57,117.11,506.79,58.51,0
South Korea,2019,Prepared Food,17168.32,16327.88,192.34,1355.95,54.98,0
Russia,2022,Prepared Food,37844.67,39814.87,130.72,20.03,30.33,1
Saudi Arabia,2024,Dairy Products,39141.04,46408.66,102.53,1300.6,62.69,1
France,2018,Prepared Food,21876.97,22063.37,191.86,899.78,41.91,0
Canada,2018,Frozen Food,14020.05,16743.69,135.14,1250.73,37.05,0
Brazil,2023,Prepared Food,25835.42,24080.3,166.84,74.73,56.25,0
USA,2023,Beverages,40308.13,39763.46,129.72,1150.25,48.03,1
France,2023,Meat & Seafood,17363.94,20058.8,104.17,1356.41,50.52,0
South Africa,2021,Fruits & Vegetables,40699.85,42273.3,161.69,501.17,67.92,1
Turkey,2018,Prepared Food,27946.26,23796.9,160.12,1154.92,65.17,1
France,2020,Meat & Seafood,18719.0,19006.64,43.65,326.61,32.93,0
India,2019,Meat & Seafood,30726.13,33026.33,185.18,938.83,67.15,1
USA,2018,Prepared Food,40760.26,41849.72,177.83,154.79,36.44,1
Brazil,2022,Dairy Products,14117.53,12597.16,159.8,406.27,44.22,0
India,2024,Frozen Food,12982.7,13913.86,129.7,569.61,56.53,0
Brazil,2024,Prepared Food,29507.41,30625.79,89.02,601.24,55.77,1
Argentina,2019,Bakery Items,46860.24,47913.04,147.29,713.78,33.11,1
USA,2024,Grains & Cereals,1901.130000000001,2239.790000000001,42.76,453.7,51.22,0
Australia,2022,Fruits & Vegetables,18067.07,16203.86,185.11,281.01,34.06,0
UK,2023,Beverages,10674.94,10306.22,89.03,78.38,54.07,0
Australia,2023,Bakery Items,19242.9,19706.14,75.46,1021.61,67.03,0
South Africa,2020,Dairy Products,40875.35,48277.06,62.37,334.85,38.73,1
China,2018,Prepared Food,37736.87,33975.05,127.75,1241.3,53.56,1
Japan,2020,Dairy Products,25834.28,29660.46,88.18,323.58,39.74,1
China,2023,Fruits & Vegetables,29295.27,24527.98,90.56,1391.16,34.26,1
Spain,2023,Fruits & Vegetables,49990.76,42801.82,31.59,105.47,52.11,1
Brazil,2021,Beverages,25921.62,29082.33,34.54,1378.97,34.0,1
Italy,2024,Grains & Cereals,28002.27,22590.63,49.68,604.05,53.84,1
UK,2020,Meat & Seafood,41774.54,47767.39,69.28,661.56,58.62,1
France,2018,Bakery Items,7294.75,5873.029999999999,152.25,80.1,42.75,0
USA,2019,Meat & Seafood,42159.48,36466.89,158.67,633.67,60.18,1
Brazil,2019,Bakery Items,33836.15,33239.92,32.12,697.28,60.25,1
France,2020,Fruits & Vegetables,10062.850000000002,9142.6,127.62,256.67,46.14,0
Russia,2024,Bakery Items,3942.3899999999994,3890.6500000000015,149.88,61.35,31.28,0
Turkey,2024,Meat & Seafood,41534.44,36355.89,61.84,1280.08,59.48,1
Argentina,2024,Fruits & Vegetables,40044.04,35715.51,111.75,130.39,40.56,1
Indonesia,2020,Frozen Food,27026.05,24435.66,191.4,100.53,45.02,1
Turkey,2024,Beverages,18885.14,19560.38,115.2,294.63,35.49,0
Mexico,2022,Prepared Food,15312.77,13090.17,28.72,992.86,49.73,0
China,2023,Meat & Seafood,34012.71,31826.08,71.36,542.32,36.16,1
Russia,2024,Grains & Cereals,42466.49,40712.08,62.88,671.81,54.53,1
USA,2022,Dairy Products,12611.69,13049.41,137.25,638.69,42.76,0
China,2020,Bakery Items,30582.77,29572.31,185.0,605.16,34.83,1
France,2021,Prepared Food,32118.15,31259.27,148.47,854.64,54.71,1
Argentina,2018,Prepared Food,37422.06,36503.07,183.55,1236.07,55.47,1
India,2020,Fruits & Vegetables,8609.89,9939.090000000002,155.97,1184.98,67.39,0
Argentina,2018,Grains & Cereals,9303.75,9591.51,73.05,1284.66,59.68,0
Canada,2022,Bakery Items,17391.9,16126.72,114.09,221.61,48.85,0
South Africa,2024,Meat & Seafood,20928.26,24655.67,184.88,713.52,51.73,0
Italy,2024,Dairy Products,39133.39,40211.56,89.79,263.09,60.78,1
Turkey,2018,Meat & Seafood,24565.36,29283.24,70.98,391.57,64.49,1
Japan,2022,Grains & Cereals,45691.23,42724.89,185.1,1376.12,41.51,1
UK,2023,Prepared Food,2771.7299999999996,2709.709999999999,137.36,806.38,44.61,0
Argentina,2020,Meat & Seafood,15465.35,18092.81,153.96,74.06,48.71,0
Mexico,2023,Prepared Food,49852.33,49951.05,46.82,346.57,51.41,1
Saudi Arabia,2020,Bakery Items,6578.830000000002,6321.950000000001,71.85,190.85,46.0,0
Turkey,2022,Beverages,13364.72,12820.98,91.65,719.34,45.88,0
Turkey,2023,Meat & Seafood,39004.75,34266.95,30.61,738.34,65.58,1
South Africa,2018,Prepared Food,23281.4,25265.3,166.94,27.03,32.77,0
Mexico,2021,Meat & Seafood,9175.669999999998,8689.930000000002,189.59,903.39,49.8,0
Argentina,2019,Beverages,16086.64,14182.44,198.1,469.81,30.58,0
Germany,2024,Bakery Items,19152.44,18329.72,126.57,189.89,43.54,0
South Africa,2022,Meat & Seafood,47998.97,42542.48,21.12,1259.95,58.23,1
India,2024,Prepared Food,8691.039999999999,9861.66,146.93,299.45,64.34,0
Germany,2023,Bakery Items,2259.010000000002,2390.2700000000004,114.47,343.08,66.88,0
Italy,2018,Grains & Cereals,12851.64,14590.46,98.09,469.07,66.66,0
Canada,2023,Dairy Products,19505.47,19105.95,76.06,782.7,67.83,0
Argentina,2023,Bakery Items,14903.6,14035.31,37.51,877.69,54.79,0
Canada,2023,Grains & Cereals,13958.86,11903.19,157.1,564.27,69.31,0
UK,2022,Bakery Items,11966.64,13301.59,115.83,915.51,31.98,0
France,2023,Meat & Seafood,30862.8,28061.49,22.5,605.39,61.67,1
Indonesia,2018,Dairy Products,45048.61,45687.34,23.68,340.97,60.97,1
Japan,2023,Grains & Cereals,33076.62,27055.64,32.99,1075.06,66.78,1
Indonesia,2020,Prepared Food,38591.62,31119.05,134.81,256.76,58.55,1
India,2020,Meat & Seafood,37097.27,31259.12,85.57,1135.93,55.89,1
South Africa,2018,Grains & Cereals,18565.85,16172.53,45.13,335.33,44.72,0
South Africa,2020,Bakery Items,4854.43,5591.5999999999985,22.92,101.56,42.71,0
South Korea,2024,Meat & Seafood,12538.16,11004.04,74.71,250.62,45.95,0
Indonesia,2023,Meat & Seafood,47916.19,56688.979999999996,173.25,499.28,60.44,1
Saudi Arabia,2019,Prepared Food,49897.41,52983.4,118.17,1356.14,30.87,1
Argentina,2023,Frozen Food,49279.74,49982.07,166.35,852.67,65.08,1
Japan,2019,Dairy Products,27104.63,27798.72,164.98,326.08,36.2,1
Japan,2022,Fruits & Vegetables,34535.45,40893.1,118.14,935.55,62.39,1
Brazil,2019,Beverages,3821.970000000001,3440.760000000002,192.16,512.62,53.6,0
Turkey,2021,Grains & Cereals,12506.13,10524.25,111.28,209.63,69.31,0
Russia,2023,Fruits & Vegetables,1221.619999999999,984.5699999999997,96.88,547.78,36.53,0
Germany,2024,Prepared Food,29489.02,30542.09,138.28,382.43,63.8,1
Russia,2020,Dairy Products,5438.27,5256.73,172.27,851.51,68.63,0
Brazil,2018,Frozen Food,7741.560000000001,6879.98,36.45,1035.41,50.77,0
USA,2024,Grains & Cereals,2469.34,2547.1500000000015,65.18,1204.7,34.35,0
Saudi Arabia,2023,Meat & Seafood,26024.78,29269.93,29.33,576.62,60.99,1
Canada,2020,Fruits & Vegetables,47273.49,49943.03,51.64,1212.97,65.71,1
Russia,2018,Beverages,40523.02,36379.9,83.53,1070.6,49.75,1
Germany,2021,Prepared Food,36470.88,30124.89,123.59,655.42,35.0,1
Mexico,2024,Bakery Items,41051.02,47576.89,128.4,220.64,63.26,1
Brazil,2021,Fruits & Vegetables,16178.17,18650.75,25.83,137.81,35.41,0
Turkey,2023,Prepared Food,46501.82,45442.62,109.76,23.36,64.43,1
Japan,2021,Grains & Cereals,23806.82,28173.06,121.6,1201.88,45.74,1
USA,2023,Frozen Food,19710.77,18712.96,162.09,1231.96,42.06,0
Germany,2023,Beverages,14272.87,13616.01,45.6,857.44,31.5,0
Germany,2023,Beverages,2267.3899999999994,2004.4799999999996,184.53,417.62,58.03,0
South Korea,2023,Fruits & Vegetables,33972.57,38497.82,178.06,385.75,32.3,1
Indonesia,2022,Prepared Food,10946.27,9985.4,22.7,41.39,32.25,0
Spain,2020,Bakery Items,49676.32,41270.26,29.32,474.65,34.97,1
South Africa,2019,Prepared Food,9255.119999999999,9241.79,24.29,297.28,41.37,0
UK,2024,Prepared Food,9277.38,9834.82,32.39,670.16,49.04,0
Brazil,2018,Dairy Products,18076.68,16060.53,85.35,74.9,52.48,0
Mexico,2018,Frozen Food,13198.24,12355.27,152.49,686.52,48.89,0
Germany,2020,Dairy Products,28422.26,24190.07,119.24,331.15,64.47,1
South Korea,2024,Fruits & Vegetables,35696.79,32244.91,74.78,857.01,57.82,1
South Korea,2023,Bakery Items,15390.05,12457.12,38.01,662.54,39.01,0
France,2023,Prepared Food,25561.92,27983.11,153.81,305.69,41.21,1
Japan,2022,Fruits & Vegetables,36016.94,41810.77,143.73,380.81,35.09,1
India,2022,Bakery Items,16918.08,13849.39,60.7,1373.73,35.69,0
India,2020,Beverages,24061.59,19712.45,148.24,436.47,50.72,0
Saudi Arabia,2019,Dairy Products,32367.96,31487.91,100.27,432.17,37.01,1
South Korea,2022,Prepared Food,19416.71,19012.69,174.09,850.25,31.9,0
France,2022,Dairy Products,36132.8,38019.37,174.75,291.54,30.7,1
Mexico,2019,Frozen Food,47226.41,56384.01,182.4,1210.94,56.95,1
India,2018,Prepared Food,15455.6,15670.96,185.32,242.18,62.06,0
Indonesia,2021,Dairy Products,49439.9,52836.52,94.15,237.99,52.97,1
Saudi Arabia,2019,Fruits & Vegetables,29604.66,23736.51,137.85,905.25,47.49,1
India,2022,Prepared Food,15110.91,13466.97,103.86,183.22,34.09,0
Russia,2024,Fruits & Vegetables,48698.53,52480.03,178.45,1066.76,66.85,1
Spain,2022,Prepared Food,48130.47,46308.2,52.01,1163.34,33.79,1
UK,2023,Bakery Items,29749.28,29411.3,199.0,1125.81,36.48,1
